# PLATEIFU     MANGAID     Z           NSA_Z       NSA_ZDIST   NSA_ELPETRO_BA   NSA_ELPETRO_PHI   NSA_ELPETRO_TH50_R   NSA_SERSIC_BA   NSA_SERSIC_PHI   NSA_SERSIC_TH50   NSA_SERSIC_N  
  7443-12704   12-84731    0.0187385   0.0187385   0.019269    0.320899         124.734           18.3902              0.24457         124.863          21.5125           0.931124      
  7443-1902    12-49536    0.0189259   0.0189259   0.019434    0.483014         163.621           5.70501              0.3686          7.79376          4.32771           2.75541       
  7443-1901    12-84620    0.0187596   0.0187596   0.0192718   0.821508         68.4571           3.77785              0.755584        70.8619          4.07204           2.18439       
  7443-3702    12-84670    0.110451    0.110451    0.110826    0.950645         129.197           2.62501              0.950969        119.189          3.67769           6.0           
  7443-3704    12-84617    0.0226546   0.0226546   0.023017    0.634886         62.2877           3.02087              0.480331        61.9103          3.25279           1.64412       
  7443-12701   12-98126    0.020478    0.020478    0.0209141   0.743017         149.48            4.26193              0.657285        150.192          5.6574            4.43097       
  7443-3701    12-193534   0.0178955   0.0178955   0.0185246   0.618084         134.802           4.6143               0.54137         134.602          4.75091           1.26508       
  7443-6104    12-84677    0.075096    0.075096    0.0754706   0.824902         113.234           4.92207              0.7556          111.324          6.35499           3.07986       
  7443-6102    12-180432   0.0280161   0.0280161   0.0283854   0.718725         132.932           5.98851              0.648263        132.111          6.45464           1.47562       
  7443-6103    12-84665    0.0183422   0.0183422   0.0189103   0.511936         18.9185           6.26699              0.410986        20.3233          6.44672           0.791366      
  7443-3703    12-180451   0.278       0.0285998   0.0289821   0.762143         145.144           5.08014              0.703897        157.541          5.30413           0.933235      
  7443-9101    12-84660    0.0404705   0.0404705   0.0408252   0.866913         70.7616           5.85432              0.767845        64.1653          8.17951           2.37273       
  7443-6101    12-84726    0.0309125   0.0309125   0.0312675   0.744994         102.764           3.93944              0.678015        100.497          3.77989           1.07479       
  7443-9102    12-84679    0.091575    0.091575    0.0919534   0.7511           51.0077           4.95598              0.586679        55.3102          9.68926           6.0           
  7443-12702   12-84674    0.0575241   0.0575241   0.0579022   0.96167          138.953           5.28583              0.935884        100.382          6.32233           1.65949       
  7443-12703   12-193481   0.0402719   0.0402719   0.0406307   0.577364         157.114           8.47723              0.522219        161.074          9.20039           2.2438        
  7443-12705   12-84627    0.0644735   0.0644735   0.0648265   0.481529         36.9388           7.37167              0.361803        36.7946          8.42868           0.985387      
  7495-1901    12-110746   0.0288023   0.0288023   0.0287577   0.881366         7.1048            1.702                0.690189        9.76764          1.57072           4.86663       
  7495-12703   12-129646   0.0298759   0.0298759   0.0298246   0.536654         12.2569           10.7047              0.450842        12.1087          11.669            0.837766      
  7495-1902    12-129608   0.0318073   0.0318073   0.0317475   0.557985         21.7308           2.45252              0.320681        22.085           2.62316           2.24667       
  7495-6103    12-129602   0.0276816   0.0276816   0.0276191   0.525857         164.363           3.73349              0.379738        165.282          3.9127            1.19326       
  7495-12705   12-129629   0.0762428   0.0762428   0.0761818   0.832785         55.1944           6.48566              0.699299        55.5188          10.635            4.69503       
  7495-3701    12-129446   0.0670065   0.0670065   0.0669274   0.860503         158.729           4.76389              0.81443         157.412          5.33114           2.01223       
  7495-3704    12-129601   0.030404    0.030404    0.0303399   0.935573         71.0187           2.6116               0.881613        55.5564          4.90273           5.24048       
  7495-12702   12-129612   0.0284013   0.0284013   0.0283336   0.290015         14.5035           12.3368              0.189334        13.9973          15.2499           1.82485       
  7495-3702    12-192149   0.027546    0.027546    0.0274882   0.411691         49.529            4.68679              0.26952         48.5504          5.25685           1.1968        
  7495-3703    12-110756   0.0285104   0.0285104   0.0284664   0.310257         139.668           5.02675              0.207314        139.925          5.08114           0.537198      
  7495-6102    12-192116   0.0261462   0.0261462   0.0260747   0.822102         79.087            6.10804              0.76669         81.1022          7.55044           2.54025       
  7495-9101    12-129610   0.0324076   0.0324076   0.0323511   0.89545          87.2703           4.40276              0.901813        69.6695          4.54396           1.60012       
  7495-6104    12-129534   0.029503    0.029503    0.0294353   0.336896         84.9346           6.33359              0.25072         85.0898          6.81134           1.11009       
  7495-9102    12-129609   0.0289841   0.0289841   0.0289222   0.702952         96.1386           4.80898              0.617578        94.3681          8.38471           4.71023       
  7495-6101    12-129434   0.026744    0.026744    0.0266539   0.74763          141.411           4.20901              0.692405        140.948          4.16191           0.88929       
  7495-12704   12-129618   0.0289385   0.0289385   0.028884    0.660855         167.057           10.6479              0.576336        166.202          12.2599           1.34532       
  7495-12701   12-192120   0.0612091   0.0612091   0.0611357   0.761878         130.823           11.2065              0.639292        132.074          12.2063           1.19974       
  7815-1901    1-113520    0.0167652   0.0167652   0.01627     0.751988         129.977           2.98524              0.683019        130.059          3.30025           2.267         
  7815-3703    1-113585    0.070276    0.070276    0.0709971   0.773512         8.03864           4.03009              0.668603        16.8679          5.60913           4.09985       
  7815-3704    1-113651    0.0708847   0.0708847   0.0715927   0.941069         125.1             2.96539              0.948426        146.962          3.29096           2.61796       
  7815-3702    1-113540    0.0293823   0.0293823   0.0301066   0.889156         163.245           3.77495              0.853027        170.98           4.22924           2.25602       
  7815-9102    1-113219    0.0408897   0.0408897   0.0415942   0.517058         82.4605           5.15853              0.406186        80.6765          5.0183            1.44275       
  7815-3701    1-113468    0.136342    0.136342    0.13704     0.823363         101.969           4.17288              0.775687        147.999          5.04276           6.0           
  7815-12705   1-635503    0.0293012   0.0293012   0.030007    0.455715         145.025           9.07305              0.342398        144.757          10.4032           1.11836       
  7815-12704   1-113418    0.0430806   0.0430806   0.0437964   0.456991         72.2178           7.31411              0.330214        72.3561          9.32434           2.00086       
  7815-6104    1-113712    0.0806967   0.0806967   0.0814214   0.942534         84.3669           4.57927              0.829789        88.7346          6.01651           6.0           
  7815-6102    1-113668    0.129233    0.129233    0.129949    0.832874         175.179           5.75453              0.9316          27.0806          6.24552           6.0           
  7815-12703   1-113403    0.0715126   0.0715126   0.0722296   0.823788         61.5411           4.26406              0.696948        64.5697          11.6199           6.0           
  7815-6103    1-113521    0.135043    0.135043    0.135765    0.892272         158.067           3.56707              0.896145        160.098          6.30914           3.64069       
  7815-12702   1-113469    0.0394617   0.0394617   0.0401594   0.522312         108.327           6.08098              0.416815        108.166          7.10726           1.07151       
  7815-1902    1-113525    0.0169457   0.0169457   0.0164314   0.78557          58.1744           7.97363              0.690904        61.7672          7.85992           1.47198       
  7815-6101    1-113379    0.0171611   0.0171611   0.0166105   0.373641         96.1794           6.08388              0.262219        96.3351          6.40975           0.908288      
  7815-9101    1-113375    0.028215    0.028215    0.0289243   0.570455         124.763           8.96766              0.514171        123.899          9.03976           0.687496      
  7815-12701   1-113567    0.0167432   0.0167432   0.0162739   0.515994         178.512           9.66008              0.449718        179.254          10.6831           0.885131      
  7991-1902    1-24099     0.0281658   0.0281658   0.028874    0.775333         126.837           3.07681              0.665547        127.189          3.62431           3.89255       
  7991-3701    1-25819     0.0724629   0.0724629   0.0731682   0.685766         101.27            2.69495              0.585915        101.348          3.07317           6.0           
  7991-3702    1-23979     0.0266298   0.0266298   0.0273376   0.740375         43.3663           4.33234              0.624893        42.6088          5.71418           2.96698       
  7991-3704    1-23891     0.0274682   0.0274682   0.0281868   0.501249         162.413           5.1223               0.303368        162.368          6.99218           2.90223       
  7991-3703    1-24124     0.0268484   0.0268484   0.0275595   0.548197         37.8621           4.65501              0.445885        37.7104          4.81807           1.09994       
  7991-6102    1-24354     0.0275173   0.0275173   0.0282396   0.381705         61.3884           5.66283              0.288264        61.9066          6.63371           0.616351      
  7991-6103    1-24006     0.0311171   0.0311171   0.0318206   0.378606         177.177           5.35987              0.259015        177.225          5.56465           0.82885       
  7991-6101    1-24018     0.0328402   0.0328402   0.0335406   0.931379         98.6111           6.20881              0.905364        87.7667          9.51425           6.0           
  7991-9102    1-25911     0.139784    0.139784    0.140495    0.859159         88.4574           4.21367              0.786813        88.7441          6.75517           5.11541       
  7991-9101    1-23929     0.0283133   0.0283133   0.0290245   0.456738         13.279            7.97234              0.365974        12.2782          8.76755           1.00812       
  7991-12705   1-25937     0.113153    0.113153    0.113872    0.66023          18.6705           5.45354              0.531698        20.1232          7.56094           2.90166       
  7991-1901    1-24092     0.0926206   0.0926206   0.0933351   0.97638          16.0559           1.20423              0.644731        29.0819          0.500287          5.93849       
  7991-12702   1-24145     0.032202    0.032202    0.0329146   0.803993         175.716           17.6934              0.775895        174.195          48.4862           6.0           
  7991-12704   1-24368     0.0250049   0.0250049   0.0257292   0.771182         172.648           8.82633              0.725344        173.668          12.8649           1.90428       
  7991-12703   1-595093    0.0300075   0.0300075   0.0307203   0.396696         141.955           11.5                 0.323512        143.174          13.827            1.83581       
  7991-12701   1-595027    0.0288967   0.0288967   0.0295994   0.515362         7.49495           9.24619              0.426948        7.61975          10.1008           0.777842      
  7991-6104    1-24148     0.0282021   0.0282021   0.0289161   0.464158         158.055           5.4097               0.33804         158.032          6.26051           1.67639       
  7977-1902    1-115128    0.0358116   0.0358116   0.0366002   0.49669          86.0034           7.78621              0.390595        84.758           9.42135           1.94494       
  7977-1901    1-115062    0.0260569   0.0260569   0.0268403   0.865932         139.514           1.29971              0.83746         137.189          0.760697          6.0           
  7977-6104    1-562158    0.068306    0.068306    0.0690964   0.613826         37.468            3.97233              0.33882         37.0031          6.11595           5.09349       
  7977-3702    1-114928    0.0273478   0.0273478   0.0281351   0.680598         17.068            4.63049              0.45868         18.4879          9.38654           6.0           
  7977-3701    1-115097    0.0274473   0.0274473   0.0282415   0.528689         59.06             4.65282              0.389376        57.7869          5.78269           2.69354       
  7977-3704    1-114956    0.0270248   0.0270248   0.0278024   0.756417         36.9942           3.93806              0.661513        37.1821          4.9766            3.28839       
  7977-3703    1-115320    0.0275274   0.0275274   0.0283102   0.842721         174.153           4.72487              0.796475        172.719          4.75735           0.864365      
  7977-6101    1-562254    0.090846    0.090846    0.0916238   0.905902         118.477           3.24855              0.89617         123.636          4.04676           3.46414       
  7977-9101    1-596598    0.0265918   0.0265918   0.0273732   0.633549         31.3145           6.94501              0.54387         32.7964          12.0388           3.84267       
  7977-9102    1-114980    0.0630915   0.0630915   0.0638737   0.656607         134.792           4.93319              0.629459        131.744          4.91153           1.46325       
  7977-12704   1-636015    0.0273857   0.0273857   0.0281833   0.320413         127.196           11.7411              0.248953        126.964          12.9963           0.939496      
  7977-6102    1-114998    0.0614042   0.0614042   0.0621883   0.6304           139.86            6.30899              0.52843         140.096          12.0626           5.21123       
  7977-12702   1-114973    0.12046     0.12046     0.121237    0.475445         9.92877           12.763               0.862403        44.2145          6.01539           6.0           
  7977-12703   1-115162    0.0738627   0.0738627   0.0746585   0.479943         75.5752           7.3267               0.369378        74.5972          11.4876           2.81509       
  7977-6103    1-115085    0.0349304   0.0349304   0.0357226   0.472784         85.1519           4.95689              0.378975        84.7933          5.33447           0.948983      
  7977-12701   1-114955    0.0922799   0.0922799   0.0930561   0.742333         102.017           5.03401              0.742089        101.706          5.14391           1.08986       
  7977-12705   1-596678    0.0269487   0.0269487   0.0277264   0.708943         174.249           8.71986              0.669873        174.145          15.7622           4.75012       
  7979-1902    1-115262    0.0679362   0.0679362   0.068723    0.977562         28.5655           1.82398              0.978472        68.6624          1.67705           2.38389       
  7979-1901    1-115212    0.121102    0.121102    0.121897    0.819923         77.3084           3.61425              0.824177        64.1922          5.23368           6.0           
  7979-6101    1-115254    0.0804337   0.0804337   0.0812225   0.831805         4.35837           6.65416              0.747869        179.478          9.9652            6.0           
  7979-3702    1-115399    0.0246661   0.0246661   0.025472    0.719898         104.907           4.38509              0.509135        101.286          7.51874           6.0           
  7979-3704    1-115437    0.0255886   0.0255886   0.0263872   0.536705         27.0475           3.89341              0.395341        26.7752          4.7059            2.31585       
  7979-3701    1-115401    0.0245868   0.0245868   0.02539     0.611793         78.38             3.81982              0.408542        78.051           4.11725           2.33798       
  7979-3703    1-115403    0.0277136   0.0277136   0.0285184   0.370832         50.5928           4.89104              0.236124        49.8669          5.13968           0.963827      
  7979-9101    1-115277    0.0675986   0.0675986   0.068389    0.597525         118.381           4.16701              0.473802        117.539          7.54028           5.11033       
  7979-9102    1-115275    0.0686091   0.0686091   0.0694015   0.788023         119.133           4.35986              0.684074        107.222          6.03527           3.51688       
  7979-12702   1-115158    0.0280532   0.0280532   0.0288504   0.705299         141.794           7.50601              0.656757        163.703          9.30479           4.87492       
  7979-6104    1-115394    0.0221103   0.0221103   0.0229131   0.569908         131.814           6.24115              0.373373        129.953          11.8349           5.13706       
  7979-12703   1-115334    0.0251824   0.0251824   0.0259864   0.788124         144.006           9.00114              0.789997        138.011          12.9306           4.20173       
  7979-12704   1-115398    0.02536     0.02536     0.0261654   0.289208         78.2402           10.9539              0.193987        78.6797          12.5331           0.882616      
  7979-6102    1-115435    0.0261702   0.0261702   0.0269702   0.37674          6.6368            6.32291              0.263841        7.29895          7.41977           1.26917       
  7979-12701   1-115365    0.0253792   0.0253792   0.0261802   0.399246         166.281           10.6316              0.289169        167.34           12.6333           1.69629       
